,tag,yield,greatstone_rating,return_ytd,2014_category_return,2012_return_category,years_up,2018_return_category,category_return_1year,cash_percent_of_portfolio,pc_ratio,2011_return_category,ytd_return_fund,years_down,2014_return_fund,category_return_1month,2013_return_fund,fund_return_3months,ytd_return_category,pb_ratio,2017_category_return,1_year_return_fund,pe_ratio,2015_return_fund,portfolio_convertable,3_months_return_category,portfolio_others,2016_return_fund,mmc,stock_percent_of_portfolio,2016_return_category,ps_ratio,2011_return_fund,2010_return_fund,fund_return_3years,2012_fund_return,2018_return_fund,2017_return_fund,category_ratio_net_annual_expense,category_return_2015,1_month_fund_return,bond_percentage_of_porfolio,portfolio_preferred,2010_return_category,2013_category_return,fund_ratio_net_annual_expense,3y_treynor_ratio,3y_alpha_ratio,3y_sharpe_ratio,3y_rma_ratio,3y_beta_ratio,3y_r2_ratio,3y_std_ratio,3y_return_ratio,5y_treynor_ratio,5y_alpha_ratio,5y_sharpe_ratio,5y_rma_ratio,5y_beta_ratio,5y_r2_ratio,5y_std_ratio,5y_return_ratio,10y_treynor_ratio,10y_alpha_ratio,10y_sharpe_ratio,10y_rma_ratio,10y_beta_ratio,10y_r2_ratio,10y_std_ratio,10y_return_ratio,category,bb_rating,below_b_rating,others_rating,maturity_bond,b_rating,a_rating,aaa_rating,aa_rating,bbb_rating,duration_bond,Medium,Small,Unknown
tag,1.0,-0.00534932942668498,0.0010283307197423706,0.012340934990488992,0.009568267536008817,-0.002614675604262111,0.03238656997804052,0.01566271940021481,0.03804197483166377,0.011573654264615348,-0.0050035551118294865,0.006804515403740719,0.012520806459318247,0.027329535692186956,-0.000954557423094333,-0.021971869955056164,0.0155246003356678,0.010193118635594578,0.002971864072995108,0.004094983976974589,-0.012845520325305509,0.014234746048825391,-0.0018428743356165174,0.00831832645898989,-0.013482345010994573,0.002971864072995108,0.022804435140916658,0.02262026387018225,-0.0080960624995812,0.003110502461641551,0.01624799654876395,0.0008294884053579758,0.0051658196983545655,0.03529698883579109,0.017248778640644374,0.006724994725303178,0.0035125780441829747,0.010707842953713416,-0.06932163604408384,0.02396318001055719,0.0034544588500429376,-0.006073522378356886,-0.01845772124560388,0.025052502238573977,0.016173108913523294,-0.03230300884829166,-0.01951520998862676,0.002265225225593289,0.024621101441953404,0.025102087889297027,0.029714172919745797,0.015305201542309379,-0.006771429027340436,0.0195308327820113,-0.009364590765143203,-0.0072239759639744685,0.024831373299897198,0.026155744639226996,0.007231351825769383,-0.009119683605443064,-0.015199366575861089,-0.0074807174718252035,-0.0020018114782381965,0.007505151988641901,0.02512838367896662,0.022651447891513844,0.015053147777675305,0.001767544336504502,0.002217036580215119,0.0080774393614215,0.055896412075962576,-0.0284241914574009,-0.006515301192944389,-0.00015900375700448325,0.023909719694331068,0.024558292408437887,0.015173088542244867,0.045310696764718224,-0.004565949757489386,0.02020994672441015,0.04091131123732256,-0.015443058185148524,0.01065865159978092,0.01274716858751906
yield,-0.00534932942668498,1.0,0.08523016895621605,-0.34015070622834265,-0.10887904662781964,-0.12906487338071787,-0.04751220167607216,0.2061583829080887,-0.02863468205331742,0.03400920740298299,-0.3167217868065514,0.23863249756816823,-0.3398143175788854,-0.13494840819848317,-0.08995988692623694,0.16373333902427528,-0.35060475887813086,-0.33872984563892694,-0.3842949983996775,-0.2014228690277152,-0.3537003624436281,0.0033115267723584593,-0.37343413815896837,-0.11794917896213945,0.059782924895090815,-0.3842949983996775,0.048333875137113895,0.009914098312197066,0.08209168432780452,-0.48742784815779155,-0.036749944437550135,-0.11156252597493091,0.2157239016398024,-0.2117148861272196,-0.28464289456188124,-0.12361910278372121,0.18741363988394538,-0.3218723233444217,-0.1740015207368506,-0.12336719566356628,0.10259307573020057,0.4959167867839807,0.12371246434053942,-0.2172022183421787,-0.3636486148257432,-0.2072901394651435,0.013886380473314378,-0.05583706469510633,-0.03315908215463926,-0.38212062334632185,-0.2632725927691193,-0.03425586093634251,0.02242739006066096,-0.015351902213927354,0.011169349552358604,-0.02812184521704159,0.08795334301263696,-0.35609513303156215,-0.2143714914396575,-0.03193709841595263,0.0013567684660265042,0.016935671311505876,-0.0036942944722727533,-0.05051592962645114,-0.005627592230631852,-0.2974331111126179,-0.20169272907335664,-0.107971799804955,-0.08781449365654191,-0.0333368223884364,-0.1454941747166543,0.4301234055068856,-0.3532104717453739,-0.1327499141013752,0.3212707378939254,-0.4138577980420585,0.20743891283268767,0.12114998680460153,0.13303978366330335,0.295184942842878,0.31780899884566804,0.029311118119334328,0.12592173413569666,0.13709415790966104
greatstone_rating,0.0010283307197423706,0.08523016895621605,1.0,0.11522408454257083,0.11128986703608215,0.16772312713204668,0.18235286289708086,-0.007436280344709581,0.0299721577257249,-0.13468751466920892,0.0733582753560368,-0.006734919055147414,0.11528640673147476,0.0203350115227658,0.20460025296237008,0.027919812692507238,0.12062497197805824,0.12640279436333637,0.04937510836489076,0.05373207423458877,0.09026743589187837,0.22128192205054317,0.08024789005639832,0.11677034032185693,0.018851178756808404,0.04937510836489076,-0.0541907246693962,0.18137385008115298,0.01783348453988082,0.011344574749387886,0.1132138702655605,0.05507977187955574,0.08205657499391189,0.17579642026228734,0.43398491232719866,0.1991804932788587,0.14596625136380278,0.21091030886468357,-0.055143815584344634,-0.04389761566718015,0.12471592406005735,0.04665212857301577,0.01937450830158942,0.14535635478113992,0.09304014085997821,-0.24266868246300086,0.1827008064064081,-0.017359287581330905,0.3741059273800955,0.29674947191619466,0.27161600058172425,0.39225709339334863,0.4412667260213679,0.03213521979494024,0.15639742470597484,-0.03647895370933443,0.326556572294168,0.17857098470096103,0.24818320898178947,0.30570164924228765,0.3425433754291804,0.369371660616996,0.04438343098211363,0.008984170226776462,0.3298460037566447,0.22301190400808849,0.2077347502248188,0.2122696273357671,0.25140089633839724,0.34172814585651473,-0.03427689372864892,0.04155074614627328,-0.062084777876762344,-0.035501479917109995,0.09583189715406153,-0.048807202564412344,0.059313839686049814,0.027194441814141098,0.043601601492280664,0.06037310789826449,0.08233125637552438,0.03964106241600771,0.028208325131037937,-0.08568586058123268
return_ytd,0.012340934990488992,-0.34015070622834265,0.11522408454257083,1.0,0.2125285808086226,0.3437211586754867,0.007683548037137597,-0.4771023550818761,0.21757257566739488,-0.3412900720161966,0.49128997303881494,-0.318829577572374,0.9965299834203856,0.13105373338048962,0.18537830171904385,-0.047561020054946924,0.5560449151206253,0.9707355518408044,0.8411385286177495,0.2944991968440533,0.6072808120410607,0.2837953723145332,0.6406950333989141,-0.05170856734530098,-0.027621737196435837,0.8411385286177495,-0.09185617145358838,0.2847509154927796,-0.0586762198962636,0.7554134126039822,0.32130909656187606,0.2549054549631275,-0.2730083503817114,0.41787197109023444,0.7569295567170242,0.3496923719479856,-0.42923057664841163,0.6068863036918709,0.12231033991104312,-0.08864842560898892,0.12499235729160305,-0.6699042074785653,-5.8826249344468794e-05,0.40828733776890164,0.5823103497086878,0.050726387525383485,0.03761517202766866,0.13887770250248763,0.3514194226254763,0.7188397214224902,0.43271233628444966,0.07421090552244305,0.09917437665676927,0.007092749105074203,0.03885740241098796,0.11154559913127404,0.0023670984799165433,0.5682106972978811,0.37847780049073304,0.06963070974065269,0.08446125725273333,0.06141864382540547,0.012162442942758783,0.056445922917423785,0.05186251627230911,0.53307520351685,0.2600469435137795,0.10279829879103795,0.09382801768731593,0.09620198873976145,0.03656557140325528,-0.21508651286930017,0.14041132190687755,0.14423187152982456,-0.3653314293886061,0.16702183909504348,-0.4181819488625005,-0.3075239241067493,-0.361614664324013,-0.3515288249832176,-0.3858104127841549,-0.08291029644180203,-0.022507172773112837,-0.25788362450800784
2014_category_return,0.009568267536008817,-0.10887904662781964,0.11128986703608215,0.2125285808086226,1.0,0.35814844959037434,0.33003158022294815,0.2924093412646836,0.6194927464399562,-0.195968656694515,0.13762757086895125,0.361135554555774,0.2127280284137944,0.04673431840421562,0.8377130675872099,0.29397888704356373,0.3458462492374786,0.22233175028555632,0.22046929382039018,0.09953291577838999,0.050907902028195,0.4822015759525162,0.19652601162099412,0.2677681305015443,0.004143353120115823,0.22046929382039018,-0.056587332816484405,0.07702828933936941,-0.04560398062042571,0.09746885532280074,0.05399867692924275,0.1371329806097049,0.3321702223621386,0.2529877092484334,0.2951931355159241,0.3251139314984879,0.23590417766444505,0.094745536495409,-0.12136280787778153,0.3386840501267323,0.21587079903494497,-0.02770725953860309,0.04706224190664148,0.2595401260760061,0.3708044941231217,-0.040325595984829994,0.028920440888966347,0.04338871154482688,0.14959212310381664,0.21928728010516627,0.1692842289855199,0.12706763206452115,0.11585346525291931,-0.016335997764445054,0.03654095267329983,0.05669245358077436,0.4159869156966169,0.40198378174088417,0.24792636540604815,0.1893936489525858,0.1998059293082684,0.06169236558458657,0.025902853814134628,0.12312434382666408,0.32384360981778426,0.29159353210726924,0.2522761428088153,0.21165647555687706,0.2088674367418185,0.19683820908634678,0.06903514262898808,-0.08299888320550453,0.0629872687820013,-0.03037648263915292,0.07206875060814648,0.0959433249442286,0.052939749926704596,-0.024818951822440663,0.10067948627576193,-0.01038542345406262,0.05389084419021604,0.09107256353468247,-0.09717042421939608,-0.10866425127717944
2012_return_category,-0.002614675604262111,-0.12906487338071787,0.16772312713204668,0.3437211586754867,0.35814844959037434,1.0,0.4481162658733471,-0.2633762862002005,0.043722855885489846,-0.2563973078353784,0.18969074603716768,-0.36767511326525815,0.34428447403268525,0.4678221115691065,0.33344680581174235,-0.0024638384744173542,0.6553914131596651,0.3569807632281282,0.39445560491366766,0.09877856873032968,0.4220023255602831,0.0098968707540578,0.23143026180098242,-0.023443772908421694,-0.010997278055801446,0.39445560491366766,-0.07740773921519117,0.2082140032499166,0.01825144723179988,0.3320758832320982,0.2236274352507017,0.10844361617240755,-0.2584300134732437,0.6227451628997027,0.37737934360872016,0.8495511511666901,-0.2420269777209225,0.42629812787786947,-0.016816990918645656,-0.008128607784673956,0.00105813773734807,-0.25362524949291076,0.011091388031418514,0.707547048301913,0.6399294279968396,0.06259505750972037,0.03939577241867048,0.11405838148374156,0.23001827053158955,0.38502233507974615,0.3111236295469025,0.2300518974111535,0.23080937946317692,-0.0014513642932128465,0.06349224968416578,0.16230551104631977,0.11223286209339274,0.2954623997560179,0.44226439909243204,0.3666870092573101,0.395916772418291,0.11683850082377062,0.04962079633746994,0.1750837372302228,0.34898259628302036,0.5269348184785859,0.4295283161133459,0.3872523088213643,0.3795910728137939,0.3493822168562524,-0.09497890650812868,-0.03023714780929708,0.02441289678032599,0.05245134383921513,-0.12913504533907083,0.021571254583983356,-0.1779692842079621,-0.17169345840308275,-0.14070489145759613,-0.13834957063617276,-0.15056530198254647,-0.05711253852498531,0.023635708965776606,-0.1604496120920275
years_up,0.03238656997804052,-0.04751220167607216,0.18235286289708086,0.007683548037137597,0.33003158022294815,0.4481162658733471,1.0,0.16921503410234282,0.16429343531513357,-0.13534535963242292,-0.012386713674176944,0.07570617886089948,0.007710511797631925,0.6660757065243134,0.32512547075256737,0.03710749717064449,0.30511204346447995,0.013960422814575085,-0.010896815720042256,0.002031555729268635,-0.009360219899540589,0.1506300203104953,-0.04180689586957366,0.0806623206711125,-5.923381657651391e-05,-0.010896815720042256,-0.07323152553700753,0.09221037405580763,-0.0008319613661622997,-0.05244965432474413,0.06537588570607396,-0.007548866830206019,0.10301085633662657,0.46812472858594334,0.11102224720731689,0.44779285611417496,0.12637316096256468,0.06617547800115595,-0.07495751926354413,0.09596744270134779,0.020889104922364718,0.12410206166256073,-0.012911568918817567,0.46724151739822856,0.2849589057531416,-0.028410415447504576,0.030163783663421963,0.01629839882097755,0.04830185385243487,0.0862421581056356,0.10217564489758524,0.200053601344675,0.1861317103658796,0.002220808927458693,0.06200591840683632,0.03445052202795561,0.2758126476876564,0.15301371309670214,0.2323952925292766,0.3191564391513629,0.3324380181423893,0.14017602551856764,0.05393429990485327,0.19817476229555697,0.4962277475344444,0.28939978636254127,0.40236778624954217,0.4900614185796823,0.4843626914512104,0.44249377239807064,-0.03149081050150555,-0.02819489396139462,0.013858181981971411,-0.024909617108872132,0.07516674008524579,0.03762250092660713,0.11156422101252102,-0.0031294533044400868,0.17222195998512782,0.011557456013987165,0.04786893915684474,0.10195712510727356,-0.022128181913301383,-0.05033390726658092
2018_return_category,0.01566271940021481,0.2061583829080887,-0.007436280344709581,-0.4771023550818761,0.2924093412646836,-0.2633762862002005,0.16921503410234282,1.0,0.5548127208236446,0.1655827233497442,-0.20123952957635294,0.5929611107547028,-0.47775453828862247,-0.1935935290124154,0.24155136478739458,0.2937467959360872,-0.2578451126314581,-0.48440226750563,-0.5453083488368886,-0.07904420686966179,-0.5592705650981094,0.46787121725589614,-0.3435464530049895,0.3481785249839455,0.06873125242981233,-0.5453083488368886,0.016421115499812355,-0.33768158410463506,0.022858317141293306,-0.6712882052876654,-0.4286045738227379,-0.07791518055052908,0.4791848798801894,-0.22945008967104077,-0.2455522745321565,-0.21540823909336132,0.8145128594430866,-0.45285631009053456,-0.24864667281152547,0.4743437195780617,0.16796665486232965,0.6468795673621851,0.032755317033614985,-0.2772948614000859,-0.28127959534363667,-0.14249641753537948,-0.004629641692138967,-0.14564654818685194,-0.0270025501639362,-0.36732589968666113,-0.33659855911153097,-0.04952647138524345,-0.03610798872114706,-0.0162575365461985,-0.006467439300562888,-0.11496269151217721,0.45305203907577607,-0.052069079316348146,-0.2514769011604322,-0.005809316615528848,0.015269503360148972,0.01241214805902852,0.0033157141527883475,0.005511392109000325,0.21205855020561548,-0.2646522170709957,-0.11414297042903525,0.026667047483853828,0.05571822287454793,0.04489614101840544,0.10134780138999266,0.2257928291278196,-0.1646155457925863,-0.1580046243971073,0.37978477361785534,-0.1836157611129175,0.41497458756155076,0.26745804943115387,0.37522051160373043,0.33565722415543975,0.3861293040604923,0.13716770617614696,-0.021498662124928607,0.18348343065322428
category_return_1year,0.03804197483166377,-0.02863468205331742,0.0299721577257249,0.21757257566739488,0.6194927464399562,0.043722855885489846,0.16429343531513357,0.5548127208236446,1.0,-0.15692673793470985,0.18981379272879628,0.4259544128176612,0.21749419550853977,-0.13638842572268334,0.5092812325191931,0.3699583751576592,0.17283870180892072,0.22328035642392222,0.24257811620125255,0.1461858250895685,-0.10448299712842746,0.7283653452698113,0.23178349661051245,0.2786509745361381,0.02648078545603484,0.24257811620125255,-0.07015395562305744,-0.021890953037675333,-0.03476765394750174,-0.002352623900220836,-0.02266217593819025,0.14820388483082808,0.35552687250863413,0.08711271990790627,0.276915196837366,0.03081210126744891,0.47943554000323546,-0.09840555845266685,-0.2694491320980641,0.35933137259719655,0.25395013698890756,0.0672301958208806,0.03707051878657964,0.09245583306042583,0.19141863279118218,-0.142668398653174,0.023526608060578068,-0.019198467761903842,0.23252711948724808,0.18519470268416302,0.023334676694120544,0.01951730324683595,0.024564848929897184,-0.02695840201472372,0.011747862821016447,-0.007515614885988803,0.48544301960949954,0.42984169076483536,0.045836503430023615,0.04136046972464841,0.04982678906996501,-0.003512938287233262,0.012684837657992751,0.0734739110417421,0.2657124273451484,0.19486535148612258,0.09362152181773656,0.1078622744029932,0.11311315372686417,0.10404915881318343,0.15017810042929788,0.03666236685020096,-0.04954785906106233,-0.03490169820618704,0.09494884531219863,-0.030349769687996235,0.07430446202194294,0.07123388954995075,0.07578073534728659,0.05673637159446801,0.10762058122401927,0.07618144902295303,-0.07593085154678283,-0.0694602732433594
cash_percent_of_portfolio,0.011573654264615348,0.03400920740298299,-0.13468751466920892,-0.3412900720161966,-0.195968656694515,-0.2563973078353784,-0.13534535963242292,0.1655827233497442,-0.15692673793470985,1.0,-0.11070679659228527,0.004711890708322198,-0.341463586704043,0.001010297699174197,-0.16919574478467186,-0.043037628486603224,-0.1910560359419572,-0.3464451236486836,-0.35251299817534637,-0.059469466422128,-0.2847376052643661,-0.14660177403604704,-0.1538242739363583,-0.05067233076888034,-0.003241535583145217,-0.35251299817534637,0.16383511733640785,-0.14513429764728394,0.014449252933827029,-0.32994865868453294,-0.17897390422629614,-0.06610248499514004,-0.016005673280759462,-0.19300913680448825,-0.2997145940434619,-0.2095134252914228,0.1345473200027128,-0.24065672930024856,0.26540839906111724,-0.04255522293673602,-0.05064398195361933,0.0030342563164084293,-0.016798387442004712,-0.2158010870193449,-0.20362064827033496,0.21323196330629834,-0.01794084880740064,-0.07804232780726514,-0.12929416697977808,-0.2538450435977824,-0.23455472409221448,-0.1452585636752296,-0.1203763437520192,-0.0031194101779387414,-0.042777097730881244,-0.004290889038849888,-0.11874194565916694,-0.15146154273399204,-0.25122979449460064,-0.15336049850249622,-0.12720029976928904,-0.04668142828362432,-0.02765620784452102,-0.04712525364669587,-0.17127520282466607,-0.21166803805798243,-0.21115771788514967,-0.18002923755689265,-0.1727154140248302,-0.14142271950063606,0.061288684220089186,0.015429884079918124,0.003231233267490137,0.020665052290987886,-0.033655267985123125,-0.009814136606889675,-0.02487449111163301,0.020104670546896818,-0.07052011994994789,-0.006386193420934768,-0.023017050402242088,-0.06177100845246534,-0.03222506363967534,0.33789575489248613
